defect_id,sprint,reported_date,module,component,title,severity,priority,status,reporter,assignee,resolved_date,root_cause,recurring_tag
DEF-2026-0118,22,2026-03-28,Reporting,Sprint 22 Report,Sprint 22 month-end report off by 1 row in fact_penjaminan,Low,Low,RESOLVED,budi.santoso,andi.dev,2026-03-31,Off-by-one in date range filter,
DEF-2026-0119,22,2026-03-29,Registrasi CIF,UI,Long Indonesian names (>50 chars) get truncated in CIF form,Minor,Low,RESOLVED,diana.putri,sari.dev,2026-04-01,Database column too small (varchar 50 -> 100),
DEF-2026-0120,22,2026-03-30,Penjaminan,ICPR Integration,ICPR Sertifikat Penjaminan upload timeout — 1 cert dropped from sprint 22 batch (OJK 7-day reporting at risk),Major,High,RESOLVED,budi.santoso,andi.dev,2026-04-02,ICPR endpoint slow; bumped HTTP timeout to 30s (insufficient long-term),icpr-upload-failure
DEF-2026-0121,22,2026-04-01,Authentication,Session,JaGuarS user session expires too aggressively (15min idle),Minor,Medium,RESOLVED,diana.putri,sari.dev,2026-04-04,Hardcoded TTL — moved to config (30 min default),
DEF-2026-0122,23,2026-04-04,Penjaminan,ICPR Integration,ICPR Sertifikat Penjaminan upload timeout — 2 certs dropped from sprint 23 batch (escalating from sprint 22),Major,High,RESOLVED,budi.santoso,andi.dev,2026-04-05,Same as DEF-0120; raised timeout to 60s (still insufficient for >2MB cert PDFs),icpr-upload-failure
DEF-2026-0123,23,2026-04-05,Master Data,PKS LOV,New PKS partner code (BTN cabang Bandung) not in dropdown,Minor,Medium,RESOLVED,budi.santoso,sari.dev,2026-04-06,PKS master sync job missed nightly window,
DEF-2026-0124,23,2026-04-06,Registrasi CIF,Validation,NIK validation accepts 15-digit value (should reject anything ≠ 16),Major,High,RESOLVED,diana.putri,andi.dev,2026-04-07,Regex bug — used \d{15,16} instead of \d{16},
DEF-2026-0125,23,2026-04-08,Penjaminan,ICPR Integration,ICPR Sertifikat Penjaminan upload timeout — 4 certs dropped this run; pattern is escalating,Major,High,RESOLVED,budi.santoso,andi.dev,2026-04-09,ICPR upstream slow during 09:00-11:00 WIB; no retry logic in client,icpr-upload-failure
DEF-2026-0126,23,2026-04-09,Workflow,Approval,Checker approval email not delivered to maker,Minor,Medium,RESOLVED,diana.putri,sari.dev,2026-04-10,SMTP relay misconfig after firewall change,
DEF-2026-0127,24,2026-04-10,Registrasi CIF,Validation,NPWP accepts hyphen format XX-XXX-XXX-X-XXX-XXX (should be dotted DJP format),Minor,Low,OPEN,budi.santoso,sari.dev,,Legacy data carries hyphen format; need to clean + add format check on save,
DEF-2026-0128,24,2026-04-11,Penjaminan,IJP Calculation,IJP rate Maker calculated 1.25% but Approver saw 1.50% (using stale PKS),Major,High,IN_PROGRESS,budi.santoso,andi.dev,,IJP rate cache not invalidated when PKS updated mid-day,ijp-calculation-drift
DEF-2026-0129,24,2026-04-12,Registrasi CIF,Data Integrity,3 rows with NULL nik in cif_registrations (should be NOT NULL),Critical,High,OPEN,budi.santoso,andi.dev,,Upstream form allows save-as-draft without NIK; staging table missing constraint,
DEF-2026-0130,24,2026-04-13,Penjaminan,ICPR Integration,ICPR Sertifikat Penjaminan upload timeout — 6 certs dropped (escalation: 1 → 2 → 4 → 6),Major,High,OPEN,budi.santoso,,,4th occurrence; pattern is systemic; needs retry+circuit breaker+DLQ before OJK 7-day SLA breach,icpr-upload-failure
DEF-2026-0131,24,2026-04-13,Klaim,Bank Payment,Klaim payout to partner bank rejected — invalid recipient account format (BTN savings account),Major,High,OPEN,budi.santoso,sari.dev,,Account-format validation only checks 10-digit but BTN uses 13-digit savings,bank-account-validation
DEF-2026-0132,24,2026-04-13,Subrogasi,Oracle GL,Subrogasi recovery (Rp 250jt) not posted to Oracle GL journal,Major,High,IN_PROGRESS,budi.santoso,andi.dev,,Oracle integration job ran but transaction was rolled back silently,oracle-gl-post-failure
DEF-2026-0133,24,2026-04-13,Master Data,IJP Rate,IJP rate for cabang Bandung saved as 1.5 (number) but stored as "1.5" (string) in MySQL,Minor,Medium,RESOLVED,diana.putri,sari.dev,2026-04-13,Type coercion lost during JSON marshalling,ijp-calculation-drift
